"","a.avg","b.avg","c.avg","AvsB.p","AvsB.FDR","AvsB.logFC","AvsB.FC","AvsC.p","AvsC.FDR","AvsC.logFC","AvsC.FC","BvsC.p","BvsC.FDR","BvsC.logFC","BvsC.FC","symbol"
"gene1",3.33,-0.38,-0.844,3.54e-05,0.00354,3.71,13.1,6.01e-06,0.000601,4.18,18.1,0.557,0.883,0.463,1.38,"VIT"
"gene45",-1.7,-0.313,0.849,0.0766,0.769,-1.38,-2.61,0.00193,0.0967,-2.54,-5.83,0.134,0.769,-1.16,-2.24,"TGN"
"gene18",-0.154,1.19,-1.24,0.0793,0.769,-1.34,-2.54,0.152,0.923,1.09,2.12,0.00244,0.244,2.43,5.38,"COK"
"gene27",0.813,0.583,-1.16,0.754,0.912,0.23,1.17,0.0109,0.362,1.97,3.91,0.0231,0.577,1.74,3.34,"VVJ"
"gene66",1.15,-0.75,1.22,0.0172,0.397,1.9,3.74,0.934,0.953,-0.0632,-1.04,0.0141,0.577,-1.97,-3.91,"YCT"
"gene88",-0.776,1.45,-0.062,0.00721,0.361,-2.23,-4.69,0.367,0.953,-0.714,-1.64,0.0603,0.627,1.52,2.86,"HEZ"
"gene96",0.82,-1.04,0.576,0.0199,0.397,1.86,3.63,0.751,0.953,0.244,1.18,0.041,0.6,-1.62,-3.07,"LHS"
"gene10",1.19,0.146,-0.838,0.202,0.778,1.05,2.07,0.0165,0.362,2.03,4.09,0.23,0.823,0.984,1.98,"CXM"
"gene46",-0.98,0.248,0.91,0.116,0.778,-1.23,-2.34,0.0181,0.362,-1.89,-3.71,0.39,0.841,-0.663,-1.58,"IOR"
"gene54",1.15,-0.877,-0.171,0.0187,0.397,2.03,4.07,0.117,0.923,1.32,2.5,0.396,0.841,-0.706,-1.63,"UCT"
"gene81",0.028,-0.918,0.953,0.224,0.778,0.946,1.93,0.235,0.923,-0.925,-1.9,0.0197,0.577,-1.87,-3.66,"JRU"
"gene71",0.737,-0.803,-0.837,0.0536,0.769,1.54,2.91,0.0488,0.61,1.57,2.98,0.965,0.976,0.0341,1.02,"YGI"
"gene40",-0.45,-1.06,0.623,0.414,0.802,0.613,1.53,0.157,0.923,-1.07,-2.1,0.0293,0.587,-1.69,-3.22,"MLR"
"gene59",-1.04,-0.0998,0.637,0.22,0.778,-0.941,-1.92,0.0325,0.542,-1.68,-3.2,0.335,0.841,-0.737,-1.67,"POI"
